Roll No,2023-11-09,2023-11-11
220001001,1,0
220001002,1,0
220001003,1,0
220001004,1,0
220001005,1,0
220001006,0,0
220001007,0,0
220001008,0,1
220001009,0,1
220001010,0,1
220001011,0,1
220001012,0,1
220001013,0,0
220001014,0,1
220001015,0,1
220001016,0,0
220001017,1,0
220001018,0,0
220001019,0,0
220001020,0,0
220001021,0,0
220001022,0,0
220001023,1,1
220001024,1,0
220001025,1,0
220001026,1,0
220001027,0,1
220001028,0,0
220001029,0,0
220001031,0,0
220001032,0,0
220001033,0,0
220001034,0,1
220001035,0,1
220001036,0,0
220001037,0,0
220001038,0,1
220001039,0,0
220001040,0,0
220001041,0,0
220001042,1,0
220001043,0,0
220001044,0,1
220001045,1,0
220001046,0,0
220001047,0,0
220001048,0,0
220001049,0,1
220001050,0,0
220001051,0,0
220001052,0,0
220001053,0,0
220001054,0,1
220001055,0,0
220001056,1,0
220001057,1,0
220001058,0,1
220001059,0,0
220001060,1,0
220001061,1,0
220001062,0,0
220001063,0,1
220001064,0,0
220001065,1,0
220001066,0,0
220001067,0,0
220001068,1,0
220001069,0,1
220001070,1,0
220001071,0,0
220001073,0,0
220001074,0,0
220001075,0,1
220001076,1,0
220001077,0,0
220001078,1,0
220001079,0,0
220001080,0,1
220001081,0,1
220001082,0,1
220002018,1,0
220002029,0,0
220002063,0,1
220002081,0,1
